# Teleports RealLife Access Mod (Menyoo / trainer)
# Formato: Nome | X | Y | Z

Heliporto Downtown | -736.15 | -1457.89 | 5.00
Telhado Maze Bank | -75.01 | -818.83 | 326.18
Base Militar Fort Zancudo | -2360.0 | 3249.0 | 92.9
Hangar Zancudo | -1850.0 | 3140.0 | 32.96
FIB Building Entrada | 136.0 | -761.0 | 45.75
FIB Andar Alto (cartão) | 127.32 | -768.63 | 242.15
IAA Office | 117.0 | -621.0 | 206.0
Escritório Executivo Entrada | -1581.0 | -558.0 | 34.95
Escritório Executivo Interior | -141.29 | -620.97 | 168.82
Garagem Privada Entrada | -72.0 | -814.0 | 243.38
Garagem Privada Interior | 228.0 | -986.0 | -99.0
Laboratório Entrada | 1391.0 | 3606.0 | 38.94
Laboratório Interior | 997.0 | -3200.7 | -36.39
Secret Room Entrada | 127.0 | -1297.0 | 29.27
Secret Room Vault | 215.0 | -999.0 | -98.0
Cobertura Eclipse Entrada | -777.0 | 313.0 | 85.70
Cobertura Eclipse Interior | -786.87 | 315.74 | 187.91
